iter	Passed	Remaining
563	14814	11452
564	14839	11425
565	14864	11397
566	14890	11371
567	14914	11343
568	14939	11316
569	14966	11290
570	14989	11261
571	15015	11235
572	15040	11207
573	15067	11182
574	15091	11154
575	15117	11128
576	15141	11100
577	15168	11074
578	15194	11047
579	15218	11020
580	15245	10994
581	15269	10967
582	15295	10940
583	15320	10913
584	15344	10885
585	15370	10858
586	15396	10832
587	15421	10805
588	15447	10779
589	15473	10752
590	15496	10724
591	15524	10699
592	15548	10671
593	15573	10644
594	15597	10616
595	15622	10589
596	15646	10562
597	15673	10536
598	15695	10507
599	15720	10480
600	15744	10452
601	15770	10426
602	15796	10399
603	15821	10372
604	15848	10347
605	15874	10321
606	15899	10293
607	15924	10267
608	15950	10240
609	15974	10213
610	15998	10185
611	16021	10157
612	16049	10132
613	16081	10109
614	16103	10081
615	16130	10055
616	16154	10028
617	16180	10001
618	16206	9975
619	16230	9947
620	16256	9921
621	16280	9894
622	16308	9868
623	16331	9840
624	16357	9814
625	16381	9787
626	16408	9761
627	16433	9734
628	16458	9707
629	16484	9681
630	16509	9654
631	16535	9628
632	16558	9600
633	16587	9575
634	16610	9547
635	16635	9520
636	16658	9493
637	16683	9466
638	16707	9438
639	16762	9428
640	16795	9406
641	16818	9378
642	16844	9352
643	16868	9325
644	16896	9299
645	16920	9272
646	16946	9245
647	16976	9222
648	17005	9197
649	17029	9169
650	17054	9142
651	17079	9116
652	17106	9090
653	17130	9063
654	17156	9036
655	17179	9008
656	17205	8982
657	17230	8955
658	17255	8929
659	17281	8902
660	17306	8875
661	17328	8847
662	17355	8821
663	17380	8795
664	17405	8768
665	17431	8741
666	17456	8715
667	17483	8689
668	17515	8666
669	17544	8641
670	17568	8614
671	17593	8587
672	17618	8560
673	17645	8534
674	17669	8507
675	17694	8480
676	17718	8453
677	17743	8426
678	17769	8400
679	17794	8374
680	17817	8346
681	17844	8320
682	17869	8293
683	17894	8267
684	17922	8241
685	17945	8214
686	17971	8187
687	17995	8160
688	18023	8135
689	18046	8107
690	18072	8081
691	18103	8057
692	18126	8030
693	18152	8003
694	18176	7976
695	18202	7950
696	18227	7923
697	18254	7897
698	18282	7872
699	18306	7845
700	18333	7819
701	18356	7792
702	18385	7767
703	18413	7742
704	18436	7714
705	18464	7689
706	18490	7662
707	18515	7636
708	18540	7609
709	18565	7582
710	18589	7556
711	18615	7529
712	18642	7504
713	18667	7477
714	18696	7452
715	18724	7426
716	18749	7400
717	18776	7374
718	18801	7348
719	18826	7321
720	18852	7295
721	18877	7268
722	18904	7242
723	18927	7215
724	18953	7189
725	18978	7162
726	19004	7136
727	19032	7111
728	19056	7083
729	19084	7058
730	19109	7032
731	19134	7005
732	19161	6979
733	19188	6953
734	19214	6927
735	19239	6901
736	19264	6874
737	19290	6848
738	19316	6822
739	19340	6795
740	19366	6769
741	19392	6743
742	19419	6717
743	19447	6691
744	19474	6665
745	19499	6639
746	19527	6613
747	19548	6586
748	19576	6560
749	19601	6533
750	19627	6507
751	19653	6481
752	19677	6454
753	19704	6428
754	19726	6401
755	19755	6376
756	19778	6348
757	19803	6322
758	19829	6296
759	19856	6270
760	19884	6244
761	19908	6218
762	19933	6191
763	19957	6164
764	19982	6138
765	20006	6111
766	20033	6085
767	20058	6059
768	20082	6032
769	20109	6006
770	20133	5979
771	20156	5952
772	20181	5926
773	20204	5899
774	20231	5873
775	20258	5847
776	20283	5821
777	20308	5795
778	20332	5768
779	20359	5742
780	20383	5715
781	20409	5689
782	20435	5663
783	20459	5636
784	20484	5610
785	20509	5583
786	20532	5557
787	20557	5530
788	20582	5504
789	20606	5477
790	20634	5452
791	20658	5425
792	20684	5399
793	20709	5372
794	20736	5347
795	20760	5320
796	20785	5294
797	20812	5268
798	20835	5241
799	20860	5215
800	20885	5188
801	20913	5163
802	20938	5136
803	20964	5110
804	20991	5085
805	21016	5058
806	21043	5032
807	21066	5005
808	21091	4979
809	21117	4953
810	21141	4926
811	21165	4900
812	21194	4874
813	21218	4848
814	21243	4822
815	21270	4796
816	21295	4769
817	21321	4744
818	21347	4717
819	21374	4691
820	21399	4665
821	21424	4639
822	21451	4613
823	21476	4587
824	21501	4560
825	21526	4534
826	21552	4508
827	21581	4483
828	21605	4456
829	21632	4430
830	21660	4405
831	21685	4378
832	21712	4352
833	21736	4326
834	21763	4300
835	21787	4274
836	21813	4247
837	21839	4221
838	21864	4195
839	21891	4169
840	21915	4143
841	21942	4117
842	21966	4091
843	21993	4065
844	22019	4039
845	22043	4012
846	22071	3986
847	22096	3960
848	22120	3934
849	22144	3907
850	22199	3886
851	22233	3862
852	22256	3835
853	22283	3809
854	22309	3783
855	22334	3757
856	22362	3731
857	22385	3704
858	22411	3678
859	22440	3653
860	22464	3626
861	22489	3600
862	22514	3574
863	22540	3548
864	22564	3521
865	22591	3495
866	22615	3469
867	22640	3443
868	22663	3416
869	22687	3390
870	22712	3363
871	22739	3337
872	22763	3311
873	22788	3285
874	22812	3258
875	22838	3232
876	22864	3206
877	22891	3180
878	22916	3154
879	22942	3128
880	22968	3102
881	22992	3076
882	23020	3050
883	23045	3024
884	23068	2997
885	23096	2971
886	23119	2945
887	23144	2919
888	23170	2893
889	23200	2867
890	23231	2841
891	23255	2815
892	23278	2789
893	23304	2763
894	23328	2736
895	23352	2710
896	23377	2684
897	23404	2658
898	23426	2631
899	23453	2605
900	23476	2579
901	23502	2553
902	23526	2527
903	23552	2501
904	23577	2474
905	23604	2449
906	23627	2422
907	23651	2396
908	23675	2370
909	23701	2344
910	23725	2317
911	23749	2291
912	23774	2265
913	23800	2239
914	23822	2213
915	23848	2186
916	23871	2160
917	23897	2134
918	23920	2108
919	23945	2082
920	23969	2055
921	23992	2029
922	24017	2003
923	24044	1977
924	24070	1951
925	24096	1925
926	24122	1899
927	24147	1873
928	24171	1847
929	24198	1821
930	24227	1795
931	24250	1769
932	24274	1743
933	24302	1717
934	24327	1691
935	24352	1665
936	24376	1638
937	24402	1612
938	24425	1586
939	24450	1560
940	24477	1534
941	24504	1508
942	24529	1482
943	24556	1456
944	24584	1430
945	24608	1404
946	24631	1378
947	24659	1352
948	24685	1326
949	24713	1300
950	24736	1274
951	24762	1248
952	24786	1222
953	24811	1196
954	24836	1170
955	24861	1144
956	24884	1118
957	24910	1092
958	24934	1066
959	24960	1040
960	24986	1014
961	25009	987
962	25034	961
963	25058	935
964	25084	909
965	25112	883
966	25137	857
967	25161	831
968	25190	805
969	25215	779
970	25239	753
971	25264	727
972	25290	701
973	25320	675
974	25348	649
975	25371	623
976	25397	597
977	25420	571
978	25447	545
979	25471	519
980	25494	493
981	25520	467
982	25545	441
983	25568	415
984	25593	389
985	25618	363
986	25642	337
987	25666	311
988	25695	285
989	25718	259
990	25744	233
991	25769	207
992	25794	181
993	25821	155
994	25848	129
995	25874	103
996	25902	77
997	25928	51
998	25950	25
999	25977	0
